,img_id,class
0,maksssksksss0_0,without_mask
1,maksssksksss0_1,with_mask
2,maksssksksss0_2,without_mask
3,maksssksksss1_0,with_mask
4,maksssksksss1_1,with_mask
5,maksssksksss1_2,with_mask
6,maksssksksss1_3,with_mask
7,maksssksksss1_4,with_mask
8,maksssksksss1_5,with_mask
9,maksssksksss1_6,with_mask
10,maksssksksss1_7,with_mask
11,maksssksksss1_8,without_mask
12,maksssksksss10_0,with_mask
13,maksssksksss100_0,with_mask
14,maksssksksss100_1,with_mask
15,maksssksksss100_2,with_mask
16,maksssksksss101_0,with_mask
17,maksssksksss102_0,with_mask
18,maksssksksss103_0,with_mask
19,maksssksksss103_1,with_mask
20,maksssksksss103_2,with_mask
21,maksssksksss103_3,with_mask
22,maksssksksss104_0,without_mask
23,maksssksksss104_1,without_mask
24,maksssksksss104_2,without_mask
25,maksssksksss104_3,with_mask
26,maksssksksss104_4,with_mask
27,maksssksksss104_5,without_mask
28,maksssksksss104_6,without_mask
29,maksssksksss104_7,without_mask
30,maksssksksss105_0,with_mask
31,maksssksksss105_1,with_mask
32,maksssksksss105_2,with_mask
33,maksssksksss105_3,with_mask
34,maksssksksss105_4,with_mask
35,maksssksksss105_5,with_mask
36,maksssksksss105_6,with_mask
37,maksssksksss105_7,with_mask
38,maksssksksss105_8,with_mask
39,maksssksksss106_0,with_mask
40,maksssksksss107_0,with_mask
41,maksssksksss108_0,with_mask
42,maksssksksss108_1,with_mask
43,maksssksksss108_2,with_mask
44,maksssksksss108_3,with_mask
45,maksssksksss108_4,without_mask
46,maksssksksss109_0,with_mask
47,maksssksksss11_0,mask_weared_incorrect
48,maksssksksss11_1,with_mask
49,maksssksksss11_2,with_mask
50,maksssksksss11_3,with_mask
51,maksssksksss11_4,with_mask
52,maksssksksss11_5,with_mask
53,maksssksksss11_6,with_mask
54,maksssksksss11_7,with_mask
55,maksssksksss11_8,with_mask
56,maksssksksss11_9,with_mask
57,maksssksksss11_10,with_mask
58,maksssksksss11_11,with_mask
59,maksssksksss11_12,with_mask
60,maksssksksss11_13,with_mask
